ip,port,image_path
108.176.64.17,8080,/axis-cgi/jpg/image.cgi
128.10.29.20,80,/axis-cgi/jpg/image.cgi
128.10.29.21,80,/axis-cgi/jpg/image.cgi
128.10.29.22,80,/axis-cgi/jpg/image.cgi
128.10.29.23,80,/axis-cgi/jpg/image.cgi
128.10.29.24,80,/axis-cgi/jpg/image.cgi
128.10.29.25,80,/axis-cgi/jpg/image.cgi
128.10.29.26,80,/axis-cgi/jpg/image.cgi
128.10.29.27,80,/axis-cgi/jpg/image.cgi
128.10.29.30,80,/axis-cgi/jpg/image.cgi
128.10.29.31,80,/axis-cgi/jpg/image.cgi
128.10.29.32,80,/axis-cgi/jpg/image.cgi
128.10.29.33,80,/axis-cgi/jpg/image.cgi
128.111.184.53,80,/axis-cgi/jpg/image.cgi
128.120.82.170,80,/axis-cgi/jpg/image.cgi
128.122.151.22,80,NULL
128.122.151.227,80,NULL
128.125.166.107,80,NULL
128.125.166.83,80,/axis-cgi/jpg/image.cgi
128.135.156.197,80,/SnapshotJPEG?Resolution
128.135.156.247,80,/axis-cgi/jpg/image.cgi
128.135.17.122,80,/axis-cgi/jpg/image.cgi
128.135.244.15,80,/SnapshotJPEG?Resolution
128.135.244.16,80,/SnapshotJPEG?Resolution
128.135.244.18,80,/SnapshotJPEG?Resolution
128.135.244.19,80,/SnapshotJPEG?Resolution
128.135.244.21,80,/SnapshotJPEG?Resolution
128.135.244.22,80,/SnapshotJPEG?Resolution
128.135.244.23,80,/SnapshotJPEG?Resolution
128.135.244.28,80,/axis-cgi/jpg/image.cgi
128.135.36.219,80,/axis-cgi/jpg/image.cgi
128.135.81.164,80,/SnapshotJPEG?Resolution
128.135.81.168,80,/axis-cgi/jpg/image.cgi
128.135.82.192,80,/axis-cgi/jpg/image.cgi
128.135.89.83,80,/axis-cgi/jpg/image.cgi
128.151.62.11,80,/image.jpg
128.153.6.43,80,/axis-cgi/jpg/image.cgi
128.174.15.234,80,/axis-cgi/jpg/image.cgi
128.194.59.236,80,/axis-cgi/jpg/image.cgi
128.210.129.12,80,/axis-cgi/jpg/image.cgi
128.210.133.200,80,/axis-cgi/jpg/image.cgi
128.210.133.218,80,/axis-cgi/jpg/image.cgi
128.210.133.219,80,/axis-cgi/jpg/image.cgi
128.210.137.244,80,NULL
128.210.169.237,80,/image.jpg
128.210.72.31,80,/axis-cgi/jpg/image.cgi
128.253.181.41,80,/axis-cgi/jpg/image.cgi
128.46.160.229,80,/axis-cgi/jpg/image.cgi
128.46.170.242,80,/axis-cgi/jpg/image.cgi
128.46.170.243,80,/axis-cgi/jpg/image.cgi
128.46.184.48,80,/axis-cgi/jpg/image.cgi
128.46.184.49,80,/axis-cgi/jpg/image.cgi
128.46.190.179,80,/axis-cgi/jpg/image.cgi
128.46.193.69,80,/axis-cgi/jpg/image.cgi
128.46.207.194,80,/image.jpg
128.46.207.40,80,/image.jpg
128.46.207.59,80,/image.jpg
128.46.207.84,80,/image.jpg
128.46.71.10,80,/axis-cgi/jpg/image.cgi
128.46.75.70,80,/SnapshotJPEG?Resolution
128.46.75.76,80,/SnapshotJPEG?Resolution
129.137.3.21,80,/axis-cgi/jpg/image.cgi
129.210.52.139,80,/axis-cgi/jpg/image.cgi
134.71.66.231,80,/axis-cgi/jpg/image.cgi
137.110.119.4,80,NULL
138.23.101.90,80,/image
138.23.101.91,80,/image
138.23.101.92,80,/image
144.80.33.99,80,/axis-cgi/jpg/image.cgi
146.186.123.229,80,/axis-cgi/jpg/image.cgi
146.186.221.252,80,/axis-cgi/jpg/image.cgi
146.186.29.200,80,/axis-cgi/jpg/image.cgi
146.186.65.36,80,/axis-cgi/jpg/image.cgi
147.253.140.110,80,/axis-cgi/jpg/image.cgi
148.137.190.230,80,/axis-cgi/jpg/image.cgi
149.43.156.105,80,/axis-cgi/jpg/image.cgi
152.1.130.216,80,/axis-cgi/jpg/image.cgi
152.1.131.130,80,NULL
152.3.114.18,80,/axis-cgi/jpg/image.cgi
155.247.171.2,80,/axis-cgi/jpg/image.cgi
155.247.171.3,80,/axis-cgi/jpg/image.cgi
157.242.44.60,80,/axis-cgi/jpg/image.cgi
164.54.143.12,80,NULL
168.170.186.230,80,NULL
192.185.88.80,80,NULL
192.203.224.2,8090,/axis-cgi/jpg/image.cgi
199.79.254.179,80,/axis-cgi/jpg/image.cgi
199.8.71.140,80,/SnapshotJPEG?Resolution
206.171.67.11,80,/axis-cgi/jpg/image.cgi
206.176.246.214,80,/axis-cgi/jpg/image.cgi
206.176.248.150,80,NULL
206.74.227.11,80,/axis-cgi/jpg/image.cgi
207.30.63.99,80,/axis-cgi/jpg/image.cgi
208.108.146.134,80,/axis-cgi/jpg/image.cgi
208.125.238.230,80,/axis-cgi/jpg/image.cgi
208.78.189.12,80,/axis-cgi/jpg/image.cgi
208.83.72.218,80,/axis-cgi/jpg/image.cgi
208.86.36.154,80,/SnapshotJPEG?Resolution
209.105.184.104,80,NULL
216.255.120.24,80,/axis-cgi/jpg/image.cgi
216.255.49.249,80,/axis-cgi/jpg/image.cgi
216.37.255.15,80,/axis-cgi/jpg/image.cgi
216.47.138.231,80,/img/snapshot.cgi
24.104.138.100,80,NULL
24.123.188.36,80,NULL
24.159.162.5,80,/axis-cgi/jpg/image.cgi
24.159.162.7,80,/axis-cgi/jpg/image.cgi
63.142.130.2,80,/axis-cgi/jpg/image.cgi
63.198.242.120,80,NULL
64.50.180.138,80,NULL
64.57.178.85,80,/axis-cgi/jpg/image.cgi
66.184.211.231,80,/axis-cgi/jpg/image.cgi
66.209.252.250,9000,NULL
66.248.128.7,80,/axis-cgi/jpg/image.cgi
66.76.70.70,80,/axis-cgi/jpg/image.cgi
67.58.125.209,8083,/axis-cgi/jpg/image.cgi
69.2.220.133,80,NULL
70.167.229.2,80,NULL
71.189.93.242,85,/axis-cgi/jpg/image.cgi
71.204.243.221,80,/axis-cgi/jpg/image.cgi
71.244.101.102,5191,NULL
72.55.9.132,80,NULL
74.208.29.236,80,NULL
75.151.36.105,4445,/axis-cgi/jpg/image.cgi
96.36.99.26,8181,/axis-cgi/jpg/image.cgi
98.101.11.138,80,/image.jpg
98.101.223.10,8080,NULL
98.115.44.140,60009,/SnapshotJPEG?Resolution
98.139.135.125,80,NULL
198.214.229.105,80,/axis-cgi/jpg/image.cgi
130.157.32.16,80,/axis-cgi/jpg/image.cgi
108.162.196.106,80,NULL
72.236.138.36,80,/axis-cgi/jpg/image.cgi
147.31.116.63,80,/axis-cgi/jpg/image.cgi
152.19.49.102,80,/SnapshotJPEG?Resolution
75.36.129.115,80,/axis-cgi/jpg/image.cgi
66.60.246.181,80,/axis-cgi/jpg/image.cgi
72.240.51.210,80,/axis-cgi/jpg/image.cgi
76.190.159.187,8081,/axis-cgi/jpg/image.cgi
96.11.115.118,80,/axis-cgi/jpg/image.cgi
129.210.84.139,80,/axis-cgi/jpg/image.cgi
76.1.184.170,6082,/axis-cgi/jpg/image.cgi
68.167.242.226,80,/axis-cgi/jpg/image.cgi
192.150.115.32,80,/axis-cgi/jpg/image.cgi
155.247.78.78,80,/axis-cgi/jpg/image.cgi
208.53.87.199,80,/axis-cgi/jpg/image.cgi
140.228.200.205,80,/axis-cgi/jpg/image.cgi
66.64.180.22,80,/SnapshotJPEG?Resolution
209.134.116.240,80,NULL
130.212.12.79,80,NULL
131.238.32.128,80,/image.jpg
138.23.101.75,80,/axis-cgi/jpg/image.cgi
64.71.27.165,80,NULL
192.147.249.51,80,/axis-cgi/jpg/image.cgi
128.174.15.233,80,/axis-cgi/jpg/image.cgi
128.153.6.47,80,/axis-cgi/jpg/image.cgi
198.17.32.162,80,/axis-cgi/jpg/image.cgi
128.153.193.37,80,/axis-cgi/jpg/image.cgi
208.68.71.254,80,/axis-cgi/jpg/image.cgi
216.198.113.51,80,/axis-cgi/jpg/image.cgi
206.180.80.17,80,/axis-cgi/jpg/image.cgi
216.145.227.141,80,/axis-cgi/jpg/image.cgi
140.192.31.226,80,/axis-cgi/jpg/image.cgi
128.125.127.27,80,/SnapshotJPEG?Resolution
207.250.90.73,80,/axis-cgi/jpg/image.cgi
128.125.166.250,80,/axis-cgi/jpg/image.cgi
208.78.132.152,80,/axis-cgi/jpg/image.cgi
192.154.46.101,80,/axis-cgi/jpg/image.cgi
207.250.88.254,80,/axis-cgi/jpg/image.cgi
140.254.233.36,80,NULL
216.125.166.10,80,/image.jpg
207.250.90.5,80,NULL
128.153.6.42,80,/axis-cgi/jpg/image.cgi
128.153.6.49,80,/axis-cgi/jpg/image.cgi
66.240.93.183,80,/axis-cgi/jpg/image.cgi
64.60.41.62,80,/image.jpg
198.189.53.47,80,/axis-cgi/jpg/image.cgi
208.75.249.164,80,NULL
208.73.9.173,80,/img/snapshot.cgi
216.146.168.245,80,/image
208.73.49.12,80,/SnapshotJPEG?Resolution
144.80.32.204,80,/axis-cgi/jpg/image.cgi
128.174.7.151,80,/axis-cgi/jpg/image.cgi
140.254.28.67,80,/axis-cgi/jpg/image.cgi
208.100.33.172,80,/cgi/jpg/image.cgi
129.120.140.132,80,NULL
64.60.250.223,80,/SnapshotJPEG?Resolution
192.154.46.43,80,/axis-cgi/jpg/image.cgi
198.101.54.143,80,/axis-cgi/jpg/image.cgi
208.68.126.42,80,/axis-cgi/jpg/image.cgi
199.8.27.24,80,/axis-cgi/jpg/image.cgi
208.103.50.39,80,/image.jpg
128.174.42.125,80,/axis-cgi/jpg/image.cgi
208.95.196.136,80,/SnapshotJPEG?Resolution
208.103.1.56,80,/image.jpg
69.64.220.28,80,/axis-cgi/jpg/image.cgi
69.94.254.53,80,/SnapshotJPEG?Resolution
199.8.71.141,80,/SnapshotJPEG?Resolution
199.8.71.145,80,/SnapshotJPEG?Resolution
206.123.240.14,80,/axis-cgi/jpg/image.cgi
69.49.208.105,80,NULL
131.247.214.119,80,NULL
208.94.41.238,80,/image.jpg
216.198.113.52,80,/axis-cgi/jpg/image.cgi
207.30.43.66,80,/axis-cgi/jpg/image.cgi
140.192.31.227,80,/axis-cgi/jpg/image.cgi
146.163.145.112,80,/axis-cgi/jpg/image.cgi
208.91.98.68,80,/image.jpg
144.80.32.137,80,/axis-cgi/jpg/image.cgi
144.80.32.112,80,/axis-cgi/jpg/image.cgi
128.151.100.145,80,/image.jpg
209.184.119.47,80,/axis-cgi/jpg/image.cgi
207.54.170.126,80,/axis-cgi/jpg/image.cgi
74.46.65.129,80,NULL
192.154.46.59,80,/axis-cgi/jpg/image.cgi
216.120.224.141,80,/img/snapshot.cgi
67.207.112.11,80,NULL
216.146.174.179,80,/image
207.30.43.65,80,/axis-cgi/jpg/image.cgi
138.23.101.87,80,/image
192.154.46.58,80,/axis-cgi/jpg/image.cgi
128.174.7.150,80,/axis-cgi/jpg/image.cgi
216.146.174.176,80,/image
74.52.220.12,80,/cgi-bin/encoder?SNAPSHOT
208.80.73.62,80,/image.jpg
138.23.101.88,80,/image
131.247.97.144,80,/axis-cgi/jpg/image.cgi
128.125.69.144,80,/axis-cgi/jpg/image.cgi
64.69.144.102,80,/axis-cgi/jpg/image.cgi
129.118.6.94,80,/image.jpg
140.192.31.224,80,/axis-cgi/jpg/image.cgi
128.125.33.77,80,/SnapshotJPEG?Resolution
131.247.13.231,80,/image.jpg
199.8.71.135,80,/SnapshotJPEG?Resolution
129.119.81.8,80,/axis-cgi/jpg/image.cgi
69.88.165.40,80,/axis-cgi/jpg/image.cgi
192.154.46.19,80,/axis-cgi/jpg/image.cgi
206.176.239.117,80,/image.jpg
140.192.109.217,80,/axis-cgi/jpg/image.cgi
129.118.1.124,80,/axis-cgi/jpg/image.cgi
206.176.248.200,80,/axis-cgi/jpg/image.cgi
155.247.171.5,80,NULL
206.123.255.179,80,/image.jpg
199.73.113.140,80,/img/snapshot.cgi
199.8.27.23,80,/axis-cgi/jpg/image.cgi
129.118.18.56,80,/now.jpg
146.186.189.239,80,/axis-cgi/jpg/image.cgi
130.191.227.248,80,/axis-cgi/jpg/image.cgi
208.86.36.158,80,/SnapshotJPEG?Resolution
208.86.36.155,80,/SnapshotJPEG?Resolution
208.86.36.151,80,/SnapshotJPEG?Resolution
192.154.46.60,80,/axis-cgi/jpg/image.cgi
74.52.220.8,80,/cgi/jpg/image.cgi
64.68.48.128,80,NULL
144.80.32.138,80,/axis-cgi/jpg/image.cgi
192.154.46.22,80,/axis-cgi/jpg/image.cgi
216.146.174.181,80,/image
209.252.243.125,80,/img/snapshot.cgi
128.122.151.188,80,/axis-cgi/jpg/image.cgi
67.205.210.38,80,/image
129.118.16.1,80,/image.jpg
131.94.82.24,80,/SnapshotJPEG?Resolution
128.125.4.138,80,/SnapshotJPEG?Resolution
207.30.63.82,80,/axis-cgi/jpg/image.cgi
69.91.77.121,80,/img/snapshot.cgi
199.79.254.219,80,/axis-cgi/jpg/image.cgi
216.146.168.246,80,/image
69.89.252.30,80,/axis-cgi/jpg/image.cgi
130.17.142.102,80,/img/snapshot.cgi
208.86.36.152,80,/SnapshotJPEG?Resolution
146.186.221.253,80,/axis-cgi/jpg/image.cgi
146.186.99.179,80,/axis-cgi/jpg/image.cgi
138.23.53.53,80,/axis-cgi/jpg/image.cgi
198.17.40.29,80,/axis-cgi/jpg/image.cgi
128.174.110.4,80,/axis-cgi/jpg/image.cgi
